id;code;name;equipment_type_id;status;description;qrcode
1;Ohio Fish;Mouse Tuna User-friendly;95930;42133;Bacon Underpass;open-source
2;SSL;SMS Group;56670;31792;payment;reboot incentivize Chicken
3;homogeneous architectures;Highway;88144;40425;Marketing Plain firewall;Arizona open-source
4;Home Loan Account SDD;disintermediate;57408;49067;deliver;Salad Auto Loan Account EXE
5;Ergonomic Plastic Table Pizza;Mouse Corporate;64580;25228;Practical Metal Shoes wireless Chips;Vatu
6;Cambridgeshire transition;Agent navigating;48912;63422;magnetic SCSI time-frame;Incredible Frozen Towels grey
7;world-class Principal systems;Engineer Cotton e-business;22129;38052;throughput morph;Nakfa Officer Awesome Rubber Gloves
8;Chair orchid TCP;Kwanza Security Dynamic;70610;15184;system engine disintermediate synergies;Investment Account Integration
9;Serbian Dinar conglomeration reboot;access withdrawal;43255;67448;extensible;Chair bypassing Books
10;Swiss Franc full-range;Money Market Account needs-based Grass-roots;73308;49686;white;Sleek Metal Keyboard
